Meso,Epi,Mast,Club,SMC,Macro,B,Den,Stroma,Macro (alv),NK,T (CD4+),T (CD8+),Pericyte,Myeloid,Neutrophil,Den (plas),Plasma,T (reg),Mono,Mono (non),Den (conv),Malignant,Pneu (type II),Pneu (type I),Endo (ves),Endo (capi),Den (CD1c+),Endo (vein),Fibro,Epi (ciliated),Endo (artery),Fibro (bron)
0,64,37,2,3,716,81,12,0,531,335,756,1745,2,73,448,102,100,311,512,206,6,417,4,47,11,6,134,26,5,40,20,29
24,770,113,3,3,595,127,8,0,889,930,1462,1008,0,57,396,14,25,173,226,91,6,146,15,57,7,6,120,23,10,32,21,0
5,1,79,5,0,373,323,4,0,773,58,310,185,2,24,1669,34,219,209,152,14,0,18,0,4,4,0,32,9,1,15,5,16
0,25,32,13,2,656,108,6,0,882,203,686,434,4,91,62,8,67,200,126,15,3,140,4,31,0,0,97,7,1,25,6,3
1,10,37,5,0,305,285,7,0,1169,795,1062,1050,0,20,50,13,38,212,165,65,4,39,3,27,1,2,90,12,4,41,9,0
23,12,66,11,0,1709,95,8,0,738,268,1334,786,2,86,2571,49,18,208,408,46,19,142,2,6,5,0,169,21,4,20,3,8
2,158,16,23,2,205,78,3,0,879,1870,799,718,0,40,473,16,5,102,211,72,2,146,7,14,8,7,114,8,7,54,7,0
0,5,30,13,2,239,38,9,0,426,136,255,531,0,14,829,24,14,70,185,99,1,39,8,59,1,1,105,14,2,27,5,0
0,42,118,1,3,145,167,2,0,371,641,1563,1325,23,15,1236,35,445,685,273,54,8,563,10,138,7,1,120,16,7,1,5,2
8,44,22,6,0,11,2,0,0,273,15,60,18,0,2,0,4,0,2,27,1,0,5,61,394,19,0,17,16,2,40,0,3
0,106,44,29,0,26,5,0,0,665,13,17,15,0,20,0,2,8,0,20,3,0,15,39,294,59,4,24,9,7,106,1,0
1,9,58,16,0,6,0,0,1,56,3,15,2,0,1,10,12,0,0,310,2,0,79,34,116,3,0,9,56,5,44,1,5
0,9,9,0,0,9,4,0,0,68,7,19,6,0,0,3,9,3,0,37,1,0,0,0,391,1,0,7,46,0,2,0,0
